metaheuristica,instancia,familia,tier,bks,costo_antes,gap_antes_%,costo_nuevo_probado,costo_despues,gap_despues_%,mejoro,cruzo_a_<=1%
ABC,val6B,val,A(1-3%),340.0,348.0,2.353,348.0,348.0,2.353,False,False
ABC,val6C,val,B(3-10%),424.0,449.0,5.896,434.0,434.0,2.358,True,False
ABC,val7A,val,B(3-10%),382.0,396.0,3.665,398.0,396.0,3.665,False,False
ABC,val7B,val,C(10-25%),386.0,426.0,10.363,405.0,405.0,4.922,True,False
ABC,val7C,val,C(10-25%),437.0,484.0,10.755,453.0,453.0,3.661,True,False
ABC,val8A,val,B(3-10%),522.0,556.0,6.513,531.0,531.0,1.724,True,False
ABC,val8B,val,C(10-25%),531.0,589.0,10.923,539.0,539.0,1.507,True,False
ABC,val8C,val,C(10-25%),657.0,759.0,15.525,709.0,709.0,7.915,True,False
ABC,val9A,val,B(3-10%),450.0,477.0,6.0,458.0,458.0,1.778,True,False
ABC,val9B,val,B(3-10%),453.0,494.0,9.051,470.0,470.0,3.753,True,False
ABC,val9C,val,B(3-10%),459.0,497.0,8.279,473.0,473.0,3.05,True,False
ABC,val9D,val,C(10-25%),515.0,629.0,22.136,562.0,562.0,9.126,True,False
ABC,val10A,val,B(3-10%),637.0,661.0,3.768,648.0,648.0,1.727,True,False
ABC,val10B,val,B(3-10%),645.0,678.0,5.116,668.0,668.0,3.566,True,False
ABC,val10C,val,B(3-10%),655.0,702.0,7.176,687.0,687.0,4.885,True,False
ABC,val10D,val,C(10-25%),734.0,831.0,13.215,783.0,783.0,6.676,True,False
ABC,gdb8,gdb,B(3-10%),348.0,364.0,4.598,358.0,358.0,2.874,True,False
ABC,gdb9,gdb,C(10-25%),303.0,342.0,12.871,321.0,321.0,5.941,True,False
ABC,gdb11,gdb,A(1-3%),395.0,399.0,1.013,410.0,399.0,1.013,False,False
ABC,gdb23,gdb,B(3-10%),233.0,243.0,4.292,238.0,238.0,2.146,True,False
ABC,egl-e1-A,egl,D(>25%),3548.0,4460.0,25.705,4323.0,4323.0,21.843,True,False
ABC,egl-e1-B,egl,D(>25%),4498.0,5743.0,27.679,5632.0,5632.0,25.211,True,False
ABC,egl-e1-C,egl,C(10-25%),5595.0,6967.0,24.522,7043.0,6967.0,24.522,False,False
ABC,egl-e2-A,egl,D(>25%),5018.0,6462.0,28.776,6510.0,6462.0,28.776,False,False
ABC,egl-e2-B,egl,D(>25%),6317.0,8679.0,37.391,8285.0,8285.0,31.154,True,False
ABC,egl-e2-C,egl,D(>25%),8335.0,11030.0,32.334,10285.0,10285.0,23.395,True,False
ABC,egl-e3-A,egl,D(>25%),5898.0,8453.0,43.32,6609.0,6609.0,12.055,True,False
ABC,egl-e3-B,egl,D(>25%),7744.0,10948.0,41.374,8625.0,8625.0,11.377,True,False
