metaheuristica,instancia,familia,gap_%,bks,costo_actual,tier
ABC,egl-e3-A,egl,43.32,5898,8453,D(>25%)
ABC,egl-e3-B,egl,41.374,7744,10948,D(>25%)
ABC,egl-e3-C,egl,36.05,10244,13937,D(>25%)
ABC,egl-e4-A,egl,37.079,6408,8784,D(>25%)
ABC,egl-e4-B,egl,42.597,8935,12741,D(>25%)
ABC,egl-e4-C,egl,34.521,11512,15486,D(>25%)
ABC,egl-s1-A,egl,50.359,5018,7545,D(>25%)
ABC,egl-s1-B,egl,39.449,6388,8908,D(>25%)
ABC,egl-s1-C,egl,35.09,8518,11507,D(>25%)
ABC,egl-s2-A,egl,70.84,9825,16785,D(>25%)
ABC,egl-s2-B,egl,89.045,13017,24608,D(>25%)
ABC,egl-s2-C,egl,73.224,16425,28452,D(>25%)
ABC,egl-s3-A,egl,61.554,10165,16422,D(>25%)
ABC,egl-s3-B,egl,76.348,13648,24068,D(>25%)
ABC,egl-s3-C,egl,65.528,17188,28451,D(>25%)
ABC,egl-s4-A,egl,90.282,12153,23125,D(>25%)
ABC,egl-s4-B,egl,91.224,16113,30812,D(>25%)
ABC,egl-s4-C,egl,70.92,20430,34919,D(>25%)
CS,kshs4,kshs,7.01,11498,12304,B(3-10%)
CS,kshs5,kshs,10.057,10957,12059,C(10-25%)
CS,kshs6,kshs,9.611,10197,11177,B(3-10%)
CS,gdb4,gdb,12.195,287,322,C(10-25%)
CS,gdb14,gdb,10,100,110,B(3-10%)
CS,gdb1,gdb,7.595,316,340,B(3-10%)
CS,gdb20,gdb,12.397,121,136,C(10-25%)
CS,gdb3,gdb,6.182,275,292,B(3-10%)
CS,gdb6,gdb,5.705,298,315,B(3-10%)
CS,gdb7,gdb,2.769,325,334,A(1-3%)
CS,gdb12,gdb,17.467,458,538,C(10-25%)
CS,gdb10,gdb,12.727,275,310,C(10-25%)
CS,gdb2,gdb,14.749,339,389,C(10-25%)
CS,gdb5,gdb,6.631,377,402,B(3-10%)
CS,gdb13,gdb,8.209,536,580,B(3-10%)
CS,gdb16,gdb,4.724,127,133,B(3-10%)
CS,gdb21,gdb,16.667,156,182,C(10-25%)
CS,val1B,val,9.312,247,270,B(3-10%)
CS,val1C,val,5.956,319,338,B(3-10%)
CS,val2B,val,2.727,330,339,A(1-3%)
CS,val2C,val,6.061,528,560,B(3-10%)
CS,val3C,val,3.086,162,167,B(3-10%)
CS,val4A,val,1.533,522,530,A(1-3%)
CS,val4B,val,4.869,534,560,B(3-10%)
CS,val4C,val,9.455,550,602,B(3-10%)
CS,val4D,val,10.769,650,720,C(10-25%)
CS,val5A,val,3.887,566,588,B(3-10%)
CS,val5B,val,4.075,589,613,B(3-10%)
CS,val5C,val,4.538,617,645,B(3-10%)
CS,val5D,val,11.56,718,801,C(10-25%)
CS,val6B,val,4.706,340,356,B(3-10%)
CS,val6C,val,4.245,424,442,B(3-10%)
CS,val7A,val,2.88,382,393,A(1-3%)
CS,val7B,val,5.44,386,407,B(3-10%)
CS,val7C,val,11.67,437,488,C(10-25%)
CS,val8A,val,4.598,522,546,B(3-10%)
CS,val8B,val,3.013,531,547,B(3-10%)
CS,val8C,val,8.98,657,716,B(3-10%)
